Reaction	Metabolites	Stoichiometry
KAS141	EG50003-MONOMER_mod_pan4p(1)_mod_act(1)	1.0
KAS141	h_c	-1.0
KAS141	co2_c	1.0
KAS141	EG50003-MONOMER_mod_pan4p(1)_mod_ac(1)	-1.0
KAS141	EG50003-MONOMER_mod_pan4p(1)	1.0
AACPS31	ppi_c	1.0
AACPS31	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	1.0
AACPS31	atp_c	-1.0
AACPS31	amp_c	1.0
AACPS31	hdca_c	-1.0
AACPS31	EG50003-MONOMER_mod_pan4p(1)	-1.0
Cs_peri_import	cs_e	-1.0
Cs_peri_import	cs_p	1.0
S_transfer_to_IscU_mod_2Fe2S(1)_mod_2Fe1S(1)	IscU_mod_2fe2s(1)_mod_2fe1s(1)	-1.0
S_transfer_to_IscU_mod_2Fe2S(1)_mod_2Fe1S(1)	IscU_mod_2fe2s(2)	1.0
S_transfer_to_IscU_mod_2Fe2S(1)_mod_2Fe1S(1)	IscS_mod_pydx5p(2)	1.0
S_transfer_to_IscU_mod_2Fe2S(1)_mod_2Fe1S(1)	h_c	4.0
S_transfer_to_IscU_mod_2Fe2S(1)_mod_2Fe1S(1)	IscS_mod_pydx5p(2)_mod_SH(1)	-1.0
OPMEACPD1	h2o_c	1.0
OPMEACPD1	EG50003-MONOMER_mod_pan4p(1)_mod_epme(1)	1.0
OPMEACPD1	EG50003-MONOMER_mod_pan4p(1)_mod_hpme(1)	-1.0
EAR121x1	nadh_c	-1.0
EAR121x1	EG50003-MONOMER_mod_pan4p(1)_mod_cddec5e(1)	1.0
EAR121x1	h_c	-1.0
EAR121x1	EG50003-MONOMER_mod_pan4p(1)_mod_t3c5ddece(1)	-1.0
EAR121x1	nad_c	1.0
MECDPDH51	FLAVODOXIN1-MONOMER	-2.0
MECDPDH51	2mecdp_c	-1.0
MECDPDH51	h_c	-1.0
MECDPDH51	FLAVODOXIN1-MONOMER_mod_Oxidized(1)	2.0
MECDPDH51	h2o_c	1.0
MECDPDH51	h2mb4p_c	1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1)	CPLX0-246_CPLX0-1342_mod_pydx5p(1)	1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1)	CPLX0-246_CPLX0-1342_mod_pydx5p(1)_mod_SH(1)	-1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1)	CPLX0-1341_mod_2fe2s(1)_mod_2fe1s(1)	-1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1)	h_c	4.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1)	CPLX0-1341_mod_2fe2s(2)	1.0
CyaY_Fe_loading	EG11653-MONOMER	-1.0
CyaY_Fe_loading	EG11653-MONOMER_mod_fe2(1)	1.0
CyaY_Fe_loading	fe2_c	-1.0
EAR80y1	nadp_c	1.0
EAR80y1	h_c	-1.0
EAR80y1	nadph_c	-1.0
EAR80y1	EG50003-MONOMER_mod_pan4p(1)_mod_toct2e(1)	-1.0
EAR80y1	EG50003-MONOMER_mod_pan4p(1)_mod_oc(1)	1.0
POR51	pyr_c	-1.0
POR51	FLAVODOXIN1-MONOMER	2.0
POR51	h_c	1.0
POR51	coa_c	-1.0
POR51	co2_c	1.0
POR51	FLAVODOXIN1-MONOMER_mod_Oxidized(1)	-2.0
POR51	accoa_c	1.0
POR52	pyr_c	-1.0
POR52	h_c	1.0
POR52	coa_c	-1.0
POR52	co2_c	1.0
POR52	FLAVODOXIN2-MONOMER_mod_Oxidized(1)	-2.0
POR52	accoa_c	1.0
POR52	FLAVODOXIN2-MONOMER	2.0
3OAR1411	nadp_c	1.0
3OAR1411	EG50003-MONOMER_mod_pan4p(1)_mod_3ocmrs7e(1)	-1.0
3OAR1411	h_c	-1.0
3OAR1411	nadph_c	-1.0
3OAR1411	EG50003-MONOMER_mod_pan4p(1)_mod_3hcmrs7e(1)	1.0
DSBAO21	DISULFOXRED-MONOMER_mod_Oxidized(1)	1.0
DSBAO21	DISULFOXRED-MONOMER	-1.0
DSBAO21	mqn8_c	-1.0
DSBAO21	mql8_c	1.0
S_transfer_to_SufBCD_mod_fe2(2)	CPLX0-1341_mod_2fe1s(1)	1.0
S_transfer_to_SufBCD_mod_fe2(2)	CPLX0-246_CPLX0-1342_mod_pydx5p(1)_mod_SH(1)	-1.0
S_transfer_to_SufBCD_mod_fe2(2)	CPLX0-246_CPLX0-1342_mod_pydx5p(1)	1.0
S_transfer_to_SufBCD_mod_fe2(2)	h_c	4.0
S_transfer_to_SufBCD_mod_fe2(2)	CPLX0-1341_mod_fe2(2)	-1.0
SufBCD_mod_fe2atp_mediated_FE_loading(1)	atp_c	-1.0
SufBCD_mod_fe2atp_mediated_FE_loading(1)	fe2_c	-1.0
SufBCD_mod_fe2atp_mediated_FE_loading(1)	CPLX0-1341_mod_fe2(1)	-1.0
SufBCD_mod_fe2atp_mediated_FE_loading(1)	adp_c	1.0
SufBCD_mod_fe2atp_mediated_FE_loading(1)	pi_c	1.0
SufBCD_mod_fe2atp_mediated_FE_loading(1)	CPLX0-1341_mod_fe2(2)	1.0
G3PAT1201	glyc3p_c	-1.0
G3PAT1201	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	-1.0
G3PAT1201	1ddecg3p_c	1.0
G3PAT1201	EG50003-MONOMER_mod_pan4p(1)	1.0
3OAS1001	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
3OAS1001	EG50003-MONOMER_mod_pan4p(1)_mod_3odec(1)	1.0
3OAS1001	h_c	-1.0
3OAS1001	EG50003-MONOMER_mod_pan4p(1)_mod_oc(1)	-1.0
3OAS1001	co2_c	1.0
3OAS1001	EG50003-MONOMER_mod_pan4p(1)	1.0
KAS151	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
KAS151	EG50003-MONOMER_mod_pan4p(1)_mod_act(1)	1.0
KAS151	h_c	-1.0
KAS151	coa_c	1.0
KAS151	co2_c	1.0
KAS151	accoa_c	-1.0
EDTXS21	lipa_c	1.0
EDTXS21	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	-1.0
EDTXS21	kdo2lipid4L_c	-1.0
EDTXS21	EG50003-MONOMER_mod_pan4p(1)	1.0
THZPSN31	ppi_c	1.0
THZPSN31	dxyl5p_c	-1.0
THZPSN31	h_c	-1.0
THZPSN31	nadph_c	-1.0
THZPSN31	co2_c	1.0
THZPSN31	dhgly_c	-1.0
THZPSN31	IscS_mod_pydx5p(2)	1.0
THZPSN31	atp_c	-1.0
THZPSN31	nadp_c	1.0
THZPSN31	h2o_c	2.0
THZPSN31	amp_c	1.0
THZPSN31	IscS_mod_pydx5p(2)_mod_SH(1)	-1.0
THZPSN31	4mpetz_c	1.0
RNDR12	h2o_c	1.0
RNDR12	RED-THIOREDOXIN2-MONOMER	-1.0
RNDR12	RED-THIOREDOXIN2-MONOMER_mod_Oxidized(1)	1.0
RNDR12	dadp_c	1.0
RNDR12	adp_c	-1.0
EAR121y1	nadp_c	1.0
EAR121y1	EG50003-MONOMER_mod_pan4p(1)_mod_cddec5e(1)	1.0
EAR121y1	h_c	-1.0
EAR121y1	nadph_c	-1.0
EAR121y1	EG50003-MONOMER_mod_pan4p(1)_mod_t3c5ddece(1)	-1.0
4Fe4S_to_ErpA_by_SufA	CPLX-7524_mod_mn2(1)	-1.0
4Fe4S_to_ErpA_by_SufA	CPLX0-7824	1.0
4Fe4S_to_ErpA_by_SufA	CPLX-7524_mod_mn2(1)_mod_4fe4s(1)	1.0
4Fe4S_to_ErpA_by_SufA	CPLX0-7824_mod_4fe4s(1)	-1.0
ALPATG160pp1	EG10544-MONOMER	1.0
ALPATG160pp1	2agpg160_p	1.0
ALPATG160pp1	pg160_p	-1.0
ALPATG160pp1	EG10544-MONOMER_mod_palmitate(1)	-1.0
3HAD801	h2o_c	1.0
3HAD801	EG50003-MONOMER_mod_pan4p(1)_mod_3hoct(1)	-1.0
3HAD801	EG50003-MONOMER_mod_pan4p(1)_mod_toct2e(1)	1.0
SufBCDatp_mediated_FE_loading	CPLX0-1341	-1.0
SufBCDatp_mediated_FE_loading	atp_c	-1.0
SufBCDatp_mediated_FE_loading	fe2_c	-1.0
SufBCDatp_mediated_FE_loading	CPLX0-1341_mod_fe2(1)	1.0
SufBCDatp_mediated_FE_loading	pi_c	1.0
SufBCDatp_mediated_FE_loading	adp_c	1.0
G3PAT1601	glyc3p_c	-1.0
G3PAT1601	1hdecg3p_c	1.0
G3PAT1601	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	-1.0
G3PAT1601	EG50003-MONOMER_mod_pan4p(1)	1.0
3OAS601	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
3OAS601	h_c	-1.0
3OAS601	EG50003-MONOMER_mod_pan4p(1)_mod_3ohex(1)	1.0
3OAS601	EG50003-MONOMER_mod_pan4p(1)_mod_but(1)	-1.0
3OAS601	co2_c	1.0
3OAS601	EG50003-MONOMER_mod_pan4p(1)	1.0
METSOXR21	RED-THIOREDOXIN-MONOMER_mod_Oxidized(1)	1.0
METSOXR21	RED-THIOREDOXIN-MONOMER	-1.0
METSOXR21	metsox__R__L_c	-1.0
METSOXR21	met__L_c	1.0
METSOXR21	h2o_c	1.0
METSOXR22	h2o_c	1.0
METSOXR22	RED-THIOREDOXIN2-MONOMER	-1.0
METSOXR22	RED-THIOREDOXIN2-MONOMER_mod_Oxidized(1)	1.0
METSOXR22	met__L_c	1.0
METSOXR22	metsox__R__L_c	-1.0
3OAR1201	nadp_c	1.0
3OAR1201	h_c	-1.0
3OAR1201	nadph_c	-1.0
3OAR1201	EG50003-MONOMER_mod_pan4p(1)_mod_3hddec(1)	1.0
3OAR1201	EG50003-MONOMER_mod_pan4p(1)_mod_3oddec(1)	-1.0
MACPD1	co2_c	1.0
MACPD1	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
MACPD1	h_c	-1.0
MACPD1	EG50003-MONOMER_mod_pan4p(1)_mod_ac(1)	1.0
3HAD1211	h2o_c	1.0
3HAD1211	EG50003-MONOMER_mod_pan4p(1)_mod_t3c5ddece(1)	1.0
3HAD1211	EG50003-MONOMER_mod_pan4p(1)_mod_3hcddec5e(1)	-1.0
3OAS1611	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
3OAS1611	h_c	-1.0
3OAS1611	co2_c	1.0
3OAS1611	EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)	-1.0
3OAS1611	EG50003-MONOMER_mod_pan4p(1)_mod_3ocpalm9e(1)	1.0
3OAS1611	EG50003-MONOMER_mod_pan4p(1)	1.0
2Fe2S_to_IscA_by_SufBCD	IscA_tetra_mod_2fe2s(1)	1.0
2Fe2S_to_IscA_by_SufBCD	CPLX0-1341	1.0
2Fe2S_to_IscA_by_SufBCD	CPLX0-1341_mod_2fe2s(1)	-1.0
2Fe2S_to_IscA_by_SufBCD	IscA_tetra	-1.0
EDTXS31	kdo2lipid4p_c	1.0
EDTXS31	EG50003-MONOMER_mod_pan4p(1)	1.0
EDTXS31	EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)	-1.0
EDTXS31	kdo2lipid4_c	-1.0
AACPS11	ppi_c	1.0
AACPS11	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	1.0
AACPS11	ttdca_c	-1.0
AACPS11	atp_c	-1.0
AACPS11	amp_c	1.0
AACPS11	EG50003-MONOMER_mod_pan4p(1)	-1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)	IscU	-1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)	EG11653-MONOMER	1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)	IscU_mod_fe2(1)	1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)	EG11653-MONOMER_mod_fe2(1)	-1.0
TRDR1	nadp_c	1.0
TRDR1	RED-THIOREDOXIN-MONOMER	1.0
TRDR1	RED-THIOREDOXIN-MONOMER_mod_Oxidized(1)	-1.0
TRDR1	nadph_c	-1.0
TRDR1	h_c	-1.0
TRDR2	nadp_c	1.0
TRDR2	h_c	-1.0
TRDR2	nadph_c	-1.0
TRDR2	RED-THIOREDOXIN2-MONOMER_mod_Oxidized(1)	-1.0
TRDR2	RED-THIOREDOXIN2-MONOMER	1.0
EAR180y1	nadp_c	1.0
EAR180y1	h_c	-1.0
EAR180y1	nadph_c	-1.0
EAR180y1	EG50003-MONOMER_mod_pan4p(1)_mod_toctd2e(1)	-1.0
EAR180y1	EG50003-MONOMER_mod_pan4p(1)_mod_ocdca(1)	1.0
IscU_mod_fe2_Fe_loading(1)	IscU_mod_fe2(2)	1.0
IscU_mod_fe2_Fe_loading(1)	IscU_mod_fe2(1)	-1.0
IscU_mod_fe2_Fe_loading(1)	fe2_c	-1.0
AGPAT1401	pa140_c	1.0
AGPAT1401	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	-1.0
AGPAT1401	1tdecg3p_c	-1.0
AGPAT1401	EG50003-MONOMER_mod_pan4p(1)	1.0
EAR40x1	nadh_c	-1.0
EAR40x1	h_c	-1.0
EAR40x1	EG50003-MONOMER_mod_pan4p(1)_mod_but2e(1)	-1.0
EAR40x1	nad_c	1.0
EAR40x1	EG50003-MONOMER_mod_pan4p(1)_mod_but(1)	1.0
23bpg_generation	23bpg	1.0
3OAS1801	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
3OAS1801	EG50003-MONOMER_mod_pan4p(1)_mod_3ooctd(1)	1.0
3OAS1801	h_c	-1.0
3OAS1801	co2_c	1.0
3OAS1801	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	-1.0
3OAS1801	EG50003-MONOMER_mod_pan4p(1)	1.0
3OAR1211	nadp_c	1.0
3OAR1211	h_c	-1.0
3OAR1211	nadph_c	-1.0
3OAR1211	EG50003-MONOMER_mod_pan4p(1)_mod_3ocddec5e(1)	-1.0
3OAR1211	EG50003-MONOMER_mod_pan4p(1)_mod_3hcddec5e(1)	1.0
RNDR4b3	CPLX0-7817_mod_Oxidized(1)	1.0
RNDR4b3	h2o_c	1.0
RNDR4b3	dudp_c	1.0
RNDR4b3	CPLX0-7817	-1.0
RNDR4b3	udp_c	-1.0
METSOXR11	RED-THIOREDOXIN-MONOMER_mod_Oxidized(1)	1.0
METSOXR11	RED-THIOREDOXIN-MONOMER	-1.0
METSOXR11	metsox__S__L_c	-1.0
METSOXR11	met__L_c	1.0
METSOXR11	h2o_c	1.0
ACPPAT1601	pi_c	-1.0
ACPPAT1601	h_c	-1.0
ACPPAT1601	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	-1.0
ACPPAT1601	hdcap_c	1.0
ACPPAT1601	EG50003-MONOMER_mod_pan4p(1)	1.0
3HAD1201	EG50003-MONOMER_mod_pan4p(1)_mod_tddec2e(1)	1.0
3HAD1201	h2o_c	1.0
3HAD1201	EG50003-MONOMER_mod_pan4p(1)_mod_3hddec(1)	-1.0
hemeD_synthesis	h2o2_c	-1.0
hemeD_synthesis	hemed_c	1.0
hemeD_synthesis	pheme_c	-1.0
3OAS1601	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
3OAS1601	EG50003-MONOMER_mod_pan4p(1)_mod_3opalm(1)	1.0
3OAS1601	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	-1.0
3OAS1601	h_c	-1.0
3OAS1601	co2_c	1.0
3OAS1601	EG50003-MONOMER_mod_pan4p(1)	1.0
AACPS61	ppi_c	1.0
AACPS61	ocdca_c	-1.0
AACPS61	EG50003-MONOMER_mod_pan4p(1)_mod_ocdca(1)	1.0
AACPS61	atp_c	-1.0
AACPS61	amp_c	1.0
AACPS61	EG50003-MONOMER_mod_pan4p(1)	-1.0
2Fe2S_to_ErpA_by_SufA	CPLX-7524_mod_mn2(1)	-1.0
2Fe2S_to_ErpA_by_SufA	CPLX0-7824	1.0
2Fe2S_to_ErpA_by_SufA	CPLX-7524_mod_mn2(1)_mod_2fe2s(1)	1.0
2Fe2S_to_ErpA_by_SufA	CPLX0-7824_mod_2fe2s(1)	-1.0
TDSR11	DSBC-CPLX	1.0
TDSR11	DSBD-MONOMER	-1.0
TDSR11	DSBC-CPLX_mod_Oxidized(1)	-1.0
TDSR11	DSBD-MONOMER_mod_Oxidized(1)	1.0
G3PAT1401	glyc3p_c	-1.0
G3PAT1401	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	-1.0
G3PAT1401	1tdecg3p_c	1.0
G3PAT1401	EG50003-MONOMER_mod_pan4p(1)	1.0
3OAR601	nadp_c	1.0
3OAR601	EG50003-MONOMER_mod_pan4p(1)_mod_3hhex(1)	1.0
3OAR601	h_c	-1.0
3OAR601	nadph_c	-1.0
3OAR601	EG50003-MONOMER_mod_pan4p(1)_mod_3ohex(1)	-1.0
3OAR801	nadp_c	1.0
3OAR801	h_c	-1.0
3OAR801	nadph_c	-1.0
3OAR801	EG50003-MONOMER_mod_pan4p(1)_mod_3hoct(1)	1.0
3OAR801	EG50003-MONOMER_mod_pan4p(1)_mod_3ooct(1)	-1.0
AGPAT1411	pa141_c	1.0
AGPAT1411	1tdec7eg3p_c	-1.0
AGPAT1411	EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)	-1.0
AGPAT1411	EG50003-MONOMER_mod_pan4p(1)	1.0
EAR40y1	nadp_c	1.0
EAR40y1	h_c	-1.0
EAR40y1	EG50003-MONOMER_mod_pan4p(1)_mod_but2e(1)	-1.0
EAR40y1	EG50003-MONOMER_mod_pan4p(1)_mod_but(1)	1.0
EAR40y1	nadph_c	-1.0
EAR100y1	nadp_c	1.0
EAR100y1	h_c	-1.0
EAR100y1	nadph_c	-1.0
EAR100y1	EG50003-MONOMER_mod_pan4p(1)_mod_dca(1)	1.0
EAR100y1	EG50003-MONOMER_mod_pan4p(1)_mod_tdec2e(1)	-1.0
EAR180x1	nadh_c	-1.0
EAR180x1	h_c	-1.0
EAR180x1	nad_c	1.0
EAR180x1	EG50003-MONOMER_mod_pan4p(1)_mod_toctd2e(1)	-1.0
EAR180x1	EG50003-MONOMER_mod_pan4p(1)_mod_ocdca(1)	1.0
ACPPAT1611	pi_c	-1.0
ACPPAT1611	h_c	-1.0
ACPPAT1611	EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)	-1.0
ACPPAT1611	hdceap_c	1.0
ACPPAT1611	EG50003-MONOMER_mod_pan4p(1)	1.0
RNDR41	RED-THIOREDOXIN-MONOMER_mod_Oxidized(1)	1.0
RNDR41	RED-THIOREDOXIN-MONOMER	-1.0
RNDR41	dudp_c	1.0
RNDR41	h2o_c	1.0
RNDR41	udp_c	-1.0
RNDR42	udp_c	-1.0
RNDR42	dudp_c	1.0
RNDR42	RED-THIOREDOXIN2-MONOMER_mod_Oxidized(1)	1.0
RNDR42	RED-THIOREDOXIN2-MONOMER	-1.0
RNDR42	h2o_c	1.0
EDTXS11	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	-1.0
EDTXS11	EG50003-MONOMER_mod_pan4p(1)	1.0
EDTXS11	kdo2lipid4L_c	1.0
EDTXS11	kdo2lipid4_c	-1.0
AACPS71	ppi_c	1.0
AACPS71	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	1.0
AACPS71	atp_c	-1.0
AACPS71	ddca_c	-1.0
AACPS71	amp_c	1.0
AACPS71	EG50003-MONOMER_mod_pan4p(1)	-1.0
FA100ACPHi1	h2o_c	-1.0
FA100ACPHi1	h_c	1.0
FA100ACPHi1	EG50003-MONOMER_mod_pan4p(1)	1.0
FA100ACPHi1	dca_c	1.0
FA100ACPHi1	EG50003-MONOMER_mod_pan4p(1)_mod_dca(1)	-1.0
3OAR1001	nadp_c	1.0
3OAR1001	h_c	-1.0
3OAR1001	nadph_c	-1.0
3OAR1001	EG50003-MONOMER_mod_pan4p(1)_mod_3hdec(1)	1.0
3OAR1001	EG50003-MONOMER_mod_pan4p(1)_mod_3odec(1)	-1.0
S_transfer_to_IscU_mod_2Fe1S(1)	IscS_mod_pydx5p(2)	1.0
S_transfer_to_IscU_mod_2Fe1S(1)	IscU_mod_2fe2s(1)	1.0
S_transfer_to_IscU_mod_2Fe1S(1)	IscU_mod_2fe1s(1)	-1.0
S_transfer_to_IscU_mod_2Fe1S(1)	h_c	4.0
S_transfer_to_IscU_mod_2Fe1S(1)	IscS_mod_pydx5p(2)_mod_SH(1)	-1.0
RNDR11	RED-THIOREDOXIN-MONOMER_mod_Oxidized(1)	1.0
RNDR11	RED-THIOREDOXIN-MONOMER	-1.0
RNDR11	adp_c	-1.0
RNDR11	dadp_c	1.0
RNDR11	h2o_c	1.0
PAPSR2	RED-THIOREDOXIN2-MONOMER_mod_Oxidized(1)	1.0
PAPSR2	h_c	2.0
PAPSR2	paps_c	-1.0
PAPSR2	RED-THIOREDOXIN2-MONOMER	-1.0
PAPSR2	so3_c	1.0
PAPSR2	pap_c	1.0
PAPSR1	h_c	2.0
PAPSR1	paps_c	-1.0
PAPSR1	RED-THIOREDOXIN-MONOMER_mod_Oxidized(1)	1.0
PAPSR1	RED-THIOREDOXIN-MONOMER	-1.0
PAPSR1	so3_c	1.0
PAPSR1	pap_c	1.0
METSOXR12	h2o_c	1.0
METSOXR12	metsox__S__L_c	-1.0
METSOXR12	RED-THIOREDOXIN2-MONOMER_mod_Oxidized(1)	1.0
METSOXR12	RED-THIOREDOXIN2-MONOMER	-1.0
METSOXR12	met__L_c	1.0
AGPAT1201	pa120_c	1.0
AGPAT1201	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	-1.0
AGPAT1201	1ddecg3p_c	-1.0
AGPAT1201	EG50003-MONOMER_mod_pan4p(1)	1.0
MCOATA1	malcoa_c	-1.0
MCOATA1	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	1.0
MCOATA1	coa_c	1.0
MCOATA1	EG50003-MONOMER_mod_pan4p(1)	-1.0
ACPPAT1401	pi_c	-1.0
ACPPAT1401	ttdcap_c	1.0
ACPPAT1401	h_c	-1.0
ACPPAT1401	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	-1.0
ACPPAT1401	EG50003-MONOMER_mod_pan4p(1)	1.0
EAR140y1	nadp_c	1.0
EAR140y1	h_c	-1.0
EAR140y1	nadph_c	-1.0
EAR140y1	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	1.0
EAR140y1	EG50003-MONOMER_mod_pan4p(1)_mod_tmrs2e(1)	-1.0
GRXR1	GLUTAREDOXIN-MONOMER_mod_Oxidized(1)	-1.0
GRXR1	gthrd_c	-2.0
GRXR1	gthox_c	1.0
GRXR1	GLUTAREDOXIN-MONOMER	1.0
AACPS41	ppi_c	1.0
AACPS41	EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)	1.0
AACPS41	hdcea_c	-1.0
AACPS41	atp_c	-1.0
AACPS41	amp_c	1.0
AACPS41	EG50003-MONOMER_mod_pan4p(1)	-1.0
GRXR4	GRXC-MONOMER_mod_Oxidized(1)	-1.0
GRXR4	gthrd_c	-2.0
GRXR4	gthox_c	1.0
GRXR4	GRXC-MONOMER	1.0
T2DECAI1	EG50003-MONOMER_mod_pan4p(1)_mod_cdec3e(1)	1.0
T2DECAI1	EG50003-MONOMER_mod_pan4p(1)_mod_tdec2e(1)	-1.0
EAR181x1	nadh_c	-1.0
EAR181x1	EG50003-MONOMER_mod_pan4p(1)_mod_octe(1)	1.0
EAR181x1	h_c	-1.0
EAR181x1	EG50003-MONOMER_mod_pan4p(1)_mod_t3c11vace(1)	-1.0
EAR181x1	nad_c	1.0
tl_generation	tl	1.0
ACPPAT1411	pi_c	-1.0
ACPPAT1411	h_c	-1.0
ACPPAT1411	EG50003-MONOMER_mod_pan4p(1)	1.0
ACPPAT1411	EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)	-1.0
ACPPAT1411	ttdceap_c	1.0
2Fe2S_to_SufA_by_IscU	pi_c	1.0
2Fe2S_to_SufA_by_IscU	IscU	1.0
2Fe2S_to_SufA_by_IscU	atp_c	-1.0
2Fe2S_to_SufA_by_IscU	IscU_mod_2fe2s(1)	-1.0
2Fe2S_to_SufA_by_IscU	CPLX0-7824	-1.0
2Fe2S_to_SufA_by_IscU	adp_c	1.0
2Fe2S_to_SufA_by_IscU	CPLX0-7824_mod_2fe2s(1)	1.0
2Fe2S_to_ErpA_by_IscU	CPLX-7524_mod_mn2(1)	-1.0
2Fe2S_to_ErpA_by_IscU	pi_c	1.0
2Fe2S_to_ErpA_by_IscU	IscU	1.0
2Fe2S_to_ErpA_by_IscU	CPLX-7524_mod_mn2(1)_mod_2fe2s(1)	1.0
2Fe2S_to_ErpA_by_IscU	atp_c	-1.0
2Fe2S_to_ErpA_by_IscU	IscU_mod_2fe2s(1)	-1.0
2Fe2S_to_ErpA_by_IscU	adp_c	1.0
EAR140x1	nadh_c	-1.0
EAR140x1	h_c	-1.0
EAR140x1	EG50003-MONOMER_mod_pan4p(1)_mod_tmrs2e(1)	-1.0
EAR140x1	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	1.0
EAR140x1	nad_c	1.0
TDSR21	DSBG-CPLX_mod_Oxidized(1)	-1.0
TDSR21	DSBD-MONOMER	-1.0
TDSR21	DSBG-CPLX	1.0
TDSR21	DSBD-MONOMER_mod_Oxidized(1)	1.0
AACPS51	ppi_c	1.0
AACPS51	ocdcea_c	-1.0
AACPS51	EG50003-MONOMER_mod_pan4p(1)_mod_octe(1)	1.0
AACPS51	atp_c	-1.0
AACPS51	amp_c	1.0
AACPS51	EG50003-MONOMER_mod_pan4p(1)	-1.0
2Fe2S_to_ErpA_by_IscA	CPLX-7524_mod_mn2(1)	-1.0
2Fe2S_to_ErpA_by_IscA	IscA_tetra	1.0
2Fe2S_to_ErpA_by_IscA	CPLX-7524_mod_mn2(1)_mod_2fe2s(1)	1.0
2Fe2S_to_ErpA_by_IscA	IscA_tetra_mod_2fe2s(1)	-1.0
EAR181y1	nadp_c	1.0
EAR181y1	EG50003-MONOMER_mod_pan4p(1)_mod_octe(1)	1.0
EAR181y1	h_c	-1.0
EAR181y1	nadph_c	-1.0
EAR181y1	EG50003-MONOMER_mod_pan4p(1)_mod_t3c11vace(1)	-1.0
EGMEACPR1	nadp_c	1.0
EGMEACPR1	EG50003-MONOMER_mod_pan4p(1)_mod_egme(1)	-1.0
EGMEACPR1	h_c	-1.0
EGMEACPR1	nadph_c	-1.0
EGMEACPR1	EG50003-MONOMER_mod_pan4p(1)_mod_gme(1)	1.0
FA161ACPHi1	h2o_c	-1.0
FA161ACPHi1	h_c	1.0
FA161ACPHi1	EG50003-MONOMER_mod_pan4p(1)	1.0
FA161ACPHi1	EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)	-1.0
FA161ACPHi1	hdcea_c	1.0
RNDR32	h2o_c	1.0
RNDR32	RED-THIOREDOXIN2-MONOMER	-1.0
RNDR32	dcdp_c	1.0
RNDR32	RED-THIOREDOXIN2-MONOMER_mod_Oxidized(1)	1.0
RNDR32	cdp_c	-1.0
3OAR1801	nadp_c	1.0
3OAR1801	EG50003-MONOMER_mod_pan4p(1)_mod_3ooctd(1)	-1.0
3OAR1801	h_c	-1.0
3OAR1801	nadph_c	-1.0
3OAR1801	EG50003-MONOMER_mod_pan4p(1)_mod_3hocta(1)	1.0
ACPS11	EG50003-MONOMER	-1.0
ACPS11	h_c	1.0
ACPS11	pap_c	1.0
ACPS11	coa_c	-1.0
ACPS11	EG50003-MONOMER_mod_pan4p(1)	1.0
G3PAT1611	glyc3p_c	-1.0
